trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_f
135,regular,psi,[8],{8: 'equivocate'},0,1,0,[8],1,0,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 0]",0,0,1,0,0,0,0,1,0.46241870831598075,0.9186053022893834,,,,0.01,8,1,False,False,1
136,regular,psi,[8],{8: 'withhold'},0,0,1,[8],1,0,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1]",0,1,0,1,0,1,1,1,0.9186052964759793,0.9186052964759793,,,,0.01,8,1,False,False,1
137,regular,psi,[3],{3: 'withhold'},0,0,1,[3],1,0,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,0,1,1,0.9186052796633892,0.9186052796633892,,,,0.01,8,1,False,False,1
138,regular,psi,[6],{6: 'withhold'},0,0,1,[6],1,0,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 1]",1,0,1,0,1,0,1,1,0.9186052846349431,0.9186052846349431,,,,0.01,8,1,False,False,1
139,regular,psi,[6],{6: 'withhold'},0,0,1,[6],1,0,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1]",0,1,0,1,0,1,1,1,0.9186053709941584,0.9186053709941584,,,,0.01,8,1,False,False,1
140,regular,psi,[5],{5: 'equivocate'},0,1,0,[5],1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0]",0,0,0,1,0,0,0,1,0.307490220794434,0.9186053094657081,,,,0.01,8,1,False,False,1
141,regular,psi,[4],{4: 'coherent_flip'},1,0,0,[],0,1,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]",0,0,1,0,1,0,0,0,0.4624187154627508,0.4624187154627508,,,,0.01,8,1,False,False,1
142,regular,psi,[8],{8: 'coherent_flip'},1,0,0,[],0,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",1,0,0,0,0,0,0,0,0.4624187285981833,0.4624187285981833,,,,0.01,8,1,False,False,1
143,regular,psi,[4],{4: 'withhold'},0,0,1,[4],1,0,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 1, 0, 0]",0,1,0,1,0,1,1,1,0.9186053709941584,0.9186053709941584,,,,0.01,8,1,False,False,1
144,regular,psi,[8],{8: 'withhold'},0,0,1,[8],1,0,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1]",0,0,0,0,0,0,1,1,0.9186053638178365,0.9186053638178365,,,,0.01,8,1,False,False,1
